Label (Grouping),Median value --!!Total:!!Moved in 2019 or later,Median value --!!Total:!!Moved in 2015 to 2018,Median value --!!Total:!!Moved in 2010 to 2014,Median value --!!Total:!!Moved in 2000 to 2009
    Margin of Error,**,"±45,330","±64,072","±36,752"
ZCTA5 01236,,,,
    Estimate,-,"454,000",-,"227,100"
    Margin of Error,**,"±30,199",**,"±36,136"
ZCTA5 01237,,,,
    Estimate,-,"280,000","234,200","256,900"
    Margin of Error,**,"±58,287","±91,982","±42,633"
ZCTA5 01238,,,,
    Estimate,-,"298,900","300,000","291,700"
    Margin of Error,**,"±59,494","±104,859","±54,350"
ZCTA5 01240,,,,
    Estimate,-,"308,300",-,"449,000"
    Margin of Error,**,"±151,145",**,"±52,976"
ZCTA5 01242,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 01243,,,,
    Estimate,-,"407,100","247,500","193,000"
    Margin of Error,**,"±94,535","±227,895","±20,357"
ZCTA5 01244,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 01245,,,,
    Estimate,-,"373,400",-,"473,200"
    Margin of Error,**,"±77,553",**,"±71,058"
ZCTA5 01247,,,,
    Estimate,"116,100","124,900","157,000","160,000"
    Margin of Error,"±28,565","±26,505","±16,744","±11,205"
ZCTA5 01253,,,,
    Estimate,-,"296,400",-,"280,000"
    Margin of Error,**,"±62,120",**,"±44,190"
ZCTA5 01254,,,,
    Estimate,-,-,"466,700","564,200"
    Margin of Error,**,**,"±271,913","±98,488"
ZCTA5 01255,,,,
    Estimate,-,"235,700","250,000","296,900"
    Margin of Error,**,"±109,596","±43,326","±108,671"
ZCTA5 01256,,,,
    Estimate,-,"181,800","241,700","181,900"
    Margin of Error,**,"±23,525","±133,739","±11,836"
ZCTA5 01257,,,,
    Estimate,-,-,"238,200","339,800"
    Margin of Error,**,**,"±219,295","±101,636"
ZCTA5 01258,,,,
    Estimate,-,-,-,"565,000"
    Margin of Error,**,**,**,"±65,566"
ZCTA5 01259,,,,
    Estimate,"310,000","516,700","937,500","687,500"
    Margin of Error,"±100,033","±329,204","±757,056","±273,991"
ZCTA5 01260,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 01262,,,,
    Estimate,-,-,"355,200","404,500"
    Margin of Error,**,**,"±105,975","±112,830"
ZCTA5 01264,,,,
    Estimate,-,-,"262,500","583,300"
    Margin of Error,**,**,"±125,739","±332,371"
ZCTA5 01266,,,,
    Estimate,-,"391,700","331,500","708,300"
    Margin of Error,**,"±241,360","±80,032","±383,473"
ZCTA5 01267,,,,
    Estimate,"276,600","245,200","292,500","459,100"
    Margin of Error,"±192,301","±157,758","±80,615","±150,091"
ZCTA5 01270,,,,
    Estimate,"344,600","375,000","275,000","295,300"
    Margin of Error,"±13,964","±329,439","±79,557","±44,778"
ZCTA5 01301,,,,
    Estimate,"168,900","206,700","216,100","186,400"
    Margin of Error,"±46,500","±13,213","±19,510","±10,878"
ZCTA5 01330,,,,
    Estimate,"2,000,000+","360,000","330,600","433,000"
    Margin of Error,***,"±87,734","±118,613","±42,836"
ZCTA5 01331,,,,
    Estimate,"191,400","171,900","173,500","185,400"
    Margin of Error,"±24,415","±30,079","±39,268","±12,855"
ZCTA5 01337,,,,
    Estimate,-,"270,900","242,400","258,700"
    Margin of Error,**,"±21,032","±24,104","±18,904"
ZCTA5 01338,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 01339,,,,
    Estimate,-,"416,700","230,600","339,300"
    Margin of Error,**,"±218,067","±53,720","±62,169"
ZCTA5 01340,,,,
    Estimate,-,"238,900","148,400","222,500"
    Margin of Error,**,"±31,157","±96,633","±74,154"
ZCTA5 01341,,,,
    Estimate,-,"337,500","307,700","372,800"
    Margin of Error,**,"±22,965","±40,292","±20,708"
ZCTA5 01342,,,,
    Estimate,-,-,-,"256,000"
    Margin of Error,**,**,**,"±123,282"
ZCTA5 01343,,,,
    Estimate,-,-,-,"268,800"
    Margin of Error,**,**,**,"±46,769"
ZCTA5 01344,,,,
    Estimate,-,"225,900","185,600","242,000"
    Margin of Error,**,"±11,491","±5,573","±21,872"
ZCTA5 01346,,,,
    Estimate,-,"222,000","300,000","206,300"
    Margin of Error,**,"±10,015","±42,850","±142,844"
ZCTA5 01347,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 01349,,,,
    Estimate,-,-,"193,100","207,500"
    Margin of Error,**,**,"±32,532","±61,859"
ZCTA5 01350,,,,
    Estimate,-,-,-,"96,300"
    Margin of Error,**,**,**,"±52,594"
ZCTA5 01351,,,,
    Estimate,-,"270,000","708,300","248,500"
    Margin of Error,**,"±52,827","±638,036","±33,097"
ZCTA5 01354,,,,
    Estimate,-,"548,900","211,100","258,000"
    Margin of Error,**,"±250,456","±65,848","±29,052"
ZCTA5 01355,,,,
    Estimate,-,-,"252,500","242,500"
    Margin of Error,**,**,"±38,650","±40,159"
ZCTA5 01360,,,,
    Estimate,-,"270,100","204,500","246,400"
    Margin of Error,**,"±54,319","±62,594","±44,573"
ZCTA5 01364,,,,
    Estimate,-,"203,900","177,400","166,800"
    Margin of Error,**,"±19,920","±34,376","±13,274"
ZCTA5 01366,,,,
    Estimate,-,"282,600","246,400","338,000"
    Margin of Error,**,"±9,286","±29,808","±20,343"
ZCTA5 01367,,,,
    Estimate,-,"204,400",-,"307,700"
    Margin of Error,**,"±29,924",**,"±51,163"
ZCTA5 01368,,,,
    Estimate,-,"313,200","222,500","290,500"
    Margin of Error,**,"±55,273","±13,999","±68,245"
ZCTA5 01370,,,,
    Estimate,-,"245,700","311,300","277,900"
    Margin of Error,**,"±30,224","±42,358","±20,237"
ZCTA5 01373,,,,
    Estimate,-,"375,600","287,700","299,600"
    Margin of Error,**,"±109,520","±72,400","±44,667"
ZCTA5 01375,,,,
    Estimate,-,-,"247,600","304,200"
    Margin of Error,**,**,"±224,239","±55,581"
ZCTA5 01376,,,,
    Estimate,-,"205,000","255,800","196,500"
    Margin of Error,**,"±61,530","±30,086","±17,080"
ZCTA5 01378,,,,
    Estimate,-,"256,800","325,000","280,600"
    Margin of Error,**,"±91,037","±89,982","±70,213"
ZCTA5 01379,,,,
    Estimate,-,"238,100","219,100","225,000"
    Margin of Error,**,"±90,044","±28,325","±16,123"
ZCTA5 01420,,,,
    Estimate,"259,400","232,100","203,900","207,000"
    Margin of Error,"±70,062","±17,559","±15,516","±14,008"
ZCTA5 01430,,,,
    Estimate,-,"282,000","277,600","296,900"
    Margin of Error,**,"±54,039","±107,551","±39,140"
ZCTA5 01431,,,,
    Estimate,"335,700","327,600","232,600","293,800"
    Margin of Error,"±44,738","±88,337","±25,812","±35,833"
ZCTA5 01432,,,,
    Estimate,-,"387,000","270,100","308,800"
    Margin of Error,**,"±46,544","±104,329","±55,110"
ZCTA5 01434,,,,
    Estimate,-,-,"277,000","355,600"
    Margin of Error,**,**,"±22,703","±29,500"
ZCTA5 01436,,,,
    Estimate,-,"221,400","177,200","218,000"
    Margin of Error,**,"±75,696","±67,987","±106,740"
ZCTA5 01438,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 01440,,,,
    Estimate,"353,200","207,800","172,000","176,300"
    Margin of Error,"±130,388","±14,060","±25,980","±27,251"
ZCTA5 01450,,,,
    Estimate,-,"570,000","474,500","530,200"
    Margin of Error,**,"±58,322","±49,609","±53,028"
ZCTA5 01451,,,,
    Estimate,-,"523,100","622,900","673,200"
    Margin of Error,**,"±210,376","±60,047","±55,276"
ZCTA5 01452,,,,
    Estimate,"306,300","261,600","261,400","308,300"
    Margin of Error,"±143,468","±26,237","±46,647","±28,074"
ZCTA5 01453,,,,
    Estimate,"227,900","280,900","253,700","266,100"
    Margin of Error,"±52,934","±30,605","±37,596","±21,411"
ZCTA5 01460,,,,
    Estimate,"545,800","472,800","525,000","473,600"
    Margin of Error,"±116,431","±62,263","±87,885","±68,470"
ZCTA5 01462,,,,
    Estimate,"290,100","348,000","301,000","316,400"
    Margin of Error,"±220,293","±33,929","±68,040","±39,906"
ZCTA5 01463,,,,
    Estimate,"693,800","427,800","349,200","368,400"
    Margin of Error,"±383,720","±41,816","±39,642","±19,264"
ZCTA5 01464,,,,
    Estimate,-,"335,800","391,900","322,100"
    Margin of Error,**,"±182,003","±69,146","±66,448"
ZCTA5 01467,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 01468,,,,
    Estimate,-,"273,800","179,400","272,800"
    Margin of Error,**,"±56,779","±38,935","±28,975"
ZCTA5 01469,,,,
    Estimate,"309,600","334,300","333,700","290,100"
    Margin of Error,"±110,715","±16,637","±14,915","±23,381"
ZCTA5 01473,,,,
    Estimate,-,"289,600","289,700","311,400"
    Margin of Error,**,"±62,366","±46,403","±38,020"
ZCTA5 01474,,,,
    Estimate,-,-,"430,300","274,000"
    Margin of Error,**,**,"±61,510","±68,278"
ZCTA5 01475,,,,
    Estimate,-,"197,100","222,900","221,400"
    Margin of Error,**,"±29,576","±43,943","±17,078"
ZCTA5 01501,,,,
    Estimate,"248,700","298,800","275,400","275,600"
    Margin of Error,"±104,572","±29,157","±17,583","±14,974"
ZCTA5 01503,,,,
    Estimate,-,"450,000","386,100","461,400"
    Margin of Error,**,"±49,739","±39,226","±44,491"
ZCTA5 01504,,,,
    Estimate,"391,200","337,200","286,200","316,900"
    Margin of Error,"±92,436","±100,039","±20,916","±37,895"
ZCTA5 01505,,,,
    Estimate,-,"449,200","484,100","436,800"
    Margin of Error,**,"±62,072","±86,491","±85,128"
ZCTA5 01506,,,,
    Estimate,-,"308,800","200,600","228,900"
    Margin of Error,**,"±165,768","±56,797","±31,493"
ZCTA5 01507,,,,
    Estimate,-,"325,900","292,500","334,800"
    Margin of Error,**,"±58,010","±32,564","±35,496"
ZCTA5 01510,,,,
    Estimate,"388,500","226,000","322,400","271,400"
    Margin of Error,"±120,752","±30,153","±65,317","±24,654"
ZCTA5 01515,,,,
    Estimate,"337,500","270,000","255,100","255,000"
    Margin of Error,"±163,412","±89,267","±26,625","±37,521"
ZCTA5 01516,,,,
    Estimate,-,"368,000","355,700","357,900"
    Margin of Error,**,"±31,120","±41,428","±16,757"
ZCTA5 01518,,,,
    Estimate,-,"344,400","383,700","276,700"
    Margin of Error,**,"±19,296","±100,070","±75,368"
ZCTA5 01519,,,,
    Estimate,-,"376,900","352,000","460,900"
    Margin of Error,**,"±119,840","±61,101","±58,866"
ZCTA5 01520,,,,
    Estimate,"431,300","355,600","352,000","355,800"
    Margin of Error,"±150,479","±31,475","±26,215","±27,174"
ZCTA5 01521,,,,
    Estimate,-,"287,300","187,500","259,900"
    Margin of Error,**,"±23,069","±77,041","±22,404"
ZCTA5 01522,,,,
    Estimate,-,"416,000","321,600","316,500"
    Margin of Error,**,"±145,033","±90,516","±44,057"
ZCTA5 01523,,,,
    Estimate,"352,300","353,700","422,200","380,800"
    Margin of Error,"±9,801","±64,242","±49,791","±42,435"
ZCTA5 01524,,,,
    Estimate,-,"297,300","586,400","289,100"
    Margin of Error,**,"±51,253","±175,694","±31,026"
ZCTA5 01525,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 01527,,,,
    Estimate,-,"328,100","320,900","274,800"
    Margin of Error,**,"±20,655","±49,279","±35,022"
ZCTA5 01529,,,,
    Estimate,"233,300","249,200","343,100","362,000"
    Margin of Error,"±39,813","±38,094","±23,612","±33,089"
ZCTA5 01531,,,,
    Estimate,-,"400,000","295,600","252,500"
    Margin of Error,**,"±229,862","±38,348","±54,321"
ZCTA5 01532,,,,
    Estimate,"586,100","448,200","481,100","457,900"
    Margin of Error,"±104,574","±41,645","±52,111","±40,551"
ZCTA5 01534,,,,
    Estimate,"325,000","332,000","393,700","358,600"
    Margin of Error,"±68,464","±41,267","±51,779","±20,279"
ZCTA5 01535,,,,
    Estimate,-,"298,100","205,400","253,100"
    Margin of Error,**,"±62,909","±73,056","±29,894"
ZCTA5 01536,,,,
    Estimate,-,"371,800","410,900","377,500"
    Margin of Error,**,"±66,272","±61,768","±58,058"
ZCTA5 01537,,,,
    Estimate,-,-,"234,600","254,600"
    Margin of Error,**,**,"±127,857","±159,361"
ZCTA5 01540,,,,
    Estimate,"510,000","278,000","267,300","285,000"
    Margin of Error,"±307,497","±14,206","±44,219","±42,431"
ZCTA5 01541,,,,
    Estimate,-,"437,800","391,400","391,400"
    Margin of Error,**,"±42,721","±70,835","±34,558"
ZCTA5 01542,,,,
    Estimate,-,"309,900","250,600","304,800"
    Margin of Error,**,"±55,547","±55,561","±70,837"
ZCTA5 01543,,,,
    Estimate,-,"467,800","366,900","242,900"
    Margin of Error,**,"±134,014","±43,583","±49,302"
ZCTA5 01545,,,,
    Estimate,"422,500","434,200","440,600","492,900"
    Margin of Error,"±199,437","±89,264","±51,620","±42,565"
ZCTA5 01550,,,,
    Estimate,-,"235,600","207,000","210,100"
    Margin of Error,**,"±31,406","±27,477","±12,839"
ZCTA5 01560,,,,
    Estimate,-,"368,800","426,700","380,900"
    Margin of Error,**,"±55,549","±82,538","±47,126"
ZCTA5 01561,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 01562,,,,
    Estimate,-,"298,600","299,500","286,700"
    Margin of Error,**,"±48,172","±93,893","±17,295"
ZCTA5 01564,,,,
    Estimate,-,"325,000","394,400","382,200"
    Margin of Error,**,"±58,442","±119,401","±41,673"
ZCTA5 01566,,,,
    Estimate,"423,900","276,600","256,500","323,400"
    Margin of Error,"±225,314","±28,242","±59,503","±40,965"
ZCTA5 01568,,,,
    Estimate,-,"482,500","487,200","492,600"
    Margin of Error,**,"±79,215","±75,566","±64,940"
ZCTA5 01569,,,,
    Estimate,"538,300","334,000","397,000","284,800"
    Margin of Error,"±107,360","±56,651","±112,566","±19,117"
ZCTA5 01570,,,,
    Estimate,"330,400","240,900","352,900","256,700"
    Margin of Error,"±91,871","±28,248","±48,015","±17,548"
ZCTA5 01571,,,,
    Estimate,-,"226,200","267,300","306,900"
    Margin of Error,**,"±22,923","±35,720","±33,926"
ZCTA5 01581,,,,
    Estimate,"383,300","510,900","497,700","457,100"
    Margin of Error,"±237,488","±62,021","±52,825","±30,312"
ZCTA5 01583,,,,
    Estimate,-,"291,400","317,700","307,700"
    Margin of Error,**,"±51,164","±41,424","±35,831"
ZCTA5 01585,,,,
    Estimate,-,"256,900","199,200","309,900"
    Margin of Error,**,"±152,969","±141,342","±70,145"
ZCTA5 01588,,,,
    Estimate,-,"322,000","327,900","322,100"
    Margin of Error,**,"±47,940","±50,066","±93,117"
ZCTA5 01590,,,,
    Estimate,"820,300","368,000","353,400","379,500"
    Margin of Error,"±475,271","±50,642","±84,838","±67,522"
ZCTA5 01602,,,,
    Estimate,"439,000","279,300","239,200","238,700"
    Margin of Error,"±16,894","±20,394","±15,870","±10,480"
ZCTA5 01603,,,,
    Estimate,"235,800","224,500","214,300","218,400"
    Margin of Error,"±18,967","±18,289","±27,723","±8,611"
ZCTA5 01604,,,,
    Estimate,"301,000","235,800","225,500","231,300"
    Margin of Error,"±106,881","±29,720","±15,636","±14,494"
ZCTA5 01605,,,,
    Estimate,-,"235,200","192,700","254,600"
    Margin of Error,**,"±26,252","±29,866","±23,254"
ZCTA5 01606,,,,
    Estimate,"293,800","238,200","233,900","241,100"
    Margin of Error,"±40,762","±16,165","±29,902","±13,525"
ZCTA5 01607,,,,
    Estimate,-,"300,800","187,500","172,600"
    Margin of Error,**,"±70,930","±39,871","±60,662"
ZCTA5 01608,,,,
    Estimate,-,-,-,"283,700"
    Margin of Error,**,**,**,"±43,808"
ZCTA5 01609,,,,
    Estimate,"351,700","364,400","297,000","297,500"
    Margin of Error,"±60,566","±36,483","±106,281","±44,789"
ZCTA5 01610,,,,
    Estimate,-,"223,800","162,100","197,500"
    Margin of Error,**,"±26,394","±29,776","±32,414"
ZCTA5 01611,,,,
    Estimate,-,"222,500","146,400","328,300"
    Margin of Error,**,"±109,451","±116,670","±139,116"
ZCTA5 01612,,,,
    Estimate,-,"463,000","304,500","404,700"
    Margin of Error,**,"±74,466","±36,143","±93,193"
ZCTA5 01701,,,,
    Estimate,-,"489,200","484,300","446,300"
    Margin of Error,**,"±30,742","±35,760","±34,921"
ZCTA5 01702,,,,
    Estimate,"605,800","435,600","372,600","358,300"
    Margin of Error,"±53,765","±50,154","±34,408","±27,336"
ZCTA5 01718,,,,
    Estimate,-,-,-,"297,800"
    Margin of Error,**,**,**,"±47,900"
ZCTA5 01719,,,,
    Estimate,-,"656,300","667,900","527,500"
    Margin of Error,**,"±180,301","±95,767","±93,516"
ZCTA5 01720,,,,
    Estimate,"633,800","611,100","544,600","619,500"
    Margin of Error,"±59,724","±70,120","±51,101","±30,027"
ZCTA5 01721,,,,
    Estimate,"460,600","441,400","437,600","398,200"
    Margin of Error,"±109,138","±47,247","±72,690","±40,686"
ZCTA5 01730,,,,
    Estimate,"852,900","792,300","703,000","706,100"
    Margin of Error,"±563,187","±99,328","±65,585","±54,075"
ZCTA5 01731,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 01740,,,,
    Estimate,"552,600","573,000","564,300","727,300"
    Margin of Error,"±132,949","±109,748","±62,323","±155,129"
ZCTA5 01741,,,,
    Estimate,-,"919,600","887,600","896,000"
